"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"D5";"GREEN";"LED-RED1206";"LED-1206";"Assorted Red LEDs";"DIO-09912";"RED";
"D6";"GREEN";"LED-RED1206";"LED-1206";"Assorted Red LEDs";"DIO-09912";"RED";
"D7";"CLV1A-FKB";"0.13_RGB_LEDCLV1A-FKB";"P-LCC-4-3";"Everlight Red/Green/Blue LED";"";"";
"D8";"SZMM3Z18VST1G";"DIODE-ZENERSZMM3Z18VST1G";"SOD-323";"Zener Diode";"";"";
"D9";"SZMM3Z18VST1G";"DIODE-ZENERSZMM3Z18VST1G";"SOD-323";"Zener Diode";"";"";
"D10";"SZMM3Z18VST1G";"DIODE-ZENERSZMM3Z18VST1G";"SOD-323";"Zener Diode";"";"";
"D11";"MBRF10H100";"DIODE-SCHOTTKY-MBRF1090_V";"TO220V_2";"Schottky diodes in SFE's production catalog";"";"";
"D12";"MBRF10H100";"DIODE-SCHOTTKY-MBRF1090_V";"TO220V_2";"Schottky diodes in SFE's production catalog";"";"";
"D13";"MBRF10H100";"DIODE-SCHOTTKY-MBRF1090_V";"TO220V_2";"Schottky diodes in SFE's production catalog";"";"";
"D14";"MBRF10H100";"DIODE-SCHOTTKY-MBRF1090_V";"TO220V_2";"Schottky diodes in SFE's production catalog";"";"";
"D15";"MBRF10H100";"DIODE-SCHOTTKY-MBRF1090_V";"TO220V_2";"Schottky diodes in SFE's production catalog";"";"";
"D16";"MBRF10H100";"DIODE-SCHOTTKY-MBRF1090_V";"TO220V_2";"Schottky diodes in SFE's production catalog";"";"";
"F1";"B59607A120A62";"PTC1210";"1210";"Resettable Fuse PTC";"";"";
"F2";"B59607A120A62";"PTC1210";"1210";"Resettable Fuse PTC";"";"";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FD5";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FD6";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"FRAME3";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"FRAME4";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"FRAME5";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"FRAME6";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"J1";"";"M02MINIFIT-SR";"MINIFIT_SR";"Standard 2-pin 0.1" header. Use with";"";"";
"J2";"";"M03X2MINIFIT_JR";"2X03_MINIFIT_JR";"2x3 .1" header.";"";"";
"J3";"";"M03MINIFIT-SR3";"MINIFIT-SRX3";"Header 3";"";"";
"J4";"";"M06SILK_FEMALE_PTH";"1X06";"Header 6";"CONN-08437";"";
"J5";"";"M03X2MINIFIT_JR";"2X03_MINIFIT_JR";"2x3 .1" header.";"";"";
"L1";"22u";"INDUCTORSRP7050TA-220M";"IND_SMD_SRP7050TA";"Inductors";"";"";
"MOD1";"PSOC5LP-DEVBRDCY8CKIT-059";"PSOC5LP-DEVBRDCY8CKIT-059";"CYKIT059";"";"";"";
"Q1";"ZXMP10A17GQ";"MOSFET-PCHANNELZXMP10A17GQ";"SOT223";"Generic PMOSFET";"";"";
"Q2";"MMBT5551LT1G";"TRANSISTOR_NPNMMBT5551LT1G";"SOT23-3";"Generic NPN BJT";"";"";
"Q3";"BUK9240-100A.118";"MOSFET-NCHANNELBUK9240-100A.118";"DPAK";"Common NMOSFET Parts";"";"";
"Q4";"BUK9240-100A.118";"MOSFET-NCHANNELBUK9240-100A.118";"DPAK";"Common NMOSFET Parts";"";"";
"Q5";"NCV8440";"MOSFET-NCHANNELNCV8440";"SOT223";"Common NMOSFET Parts";"";"";
"Q6";"NCV8440";"MOSFET-NCHANNELNCV8440";"SOT223";"Common NMOSFET Parts";"";"";
"R1";"2.8k";"RESISTOR1206";"1206";"Resistor";"";"";
"R2";"47k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R3";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R4";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R5";"10";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R6";"124k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R7";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R8";"0.2";"RESISTOR1206";"1206";"Resistor";"";"";
"R9";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R10";"10";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R11";"274k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R12";"4.99k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R13";"10";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R14";"0.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R15";"2";"RESISTOR1206";"1206";"Resistor";"";"";
"R16";"124k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R17";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R18";"47k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R19";"25.5k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R20";"499";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R21";"47k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R22";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R23";"57.6k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R24";"49.9k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R25";"140k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R26";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R27";"2.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R28";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R29";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R30";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R31";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R32";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R33";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R34";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R35";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R36";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R37";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R38";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R39";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R40";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R41";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R42";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R43";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R44";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R45";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R46";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R47";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R48";"100k";"RESISTOR1206";"1206";"Resistor";"";"";
"R49";"5.1k";"RESISTOR1206";"1206";"Resistor";"";"";
"R50";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R51";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R52";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R53";"510k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R54";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R55";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R56";"10";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R57";"10";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R58";"10";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R59";"10";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R60";"10";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R61";"10";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R62";"1M";"RESISTOR1206";"1206";"Resistor";"";"";
"S1";"STANDOFF_ELECTRICAL";"STANDOFF_ELECTRICAL";"STANDOFF-ELECTRICAL";"A standoff intended to be an electrically connected point.";"";"";
"S2";"STANDOFF_ELECTRICAL";"STANDOFF_ELECTRICAL";"STANDOFF-ELECTRICAL";"A standoff intended to be an electrically connected point.";"";"";
"S3";"STANDOFF_ELECTRICAL";"STANDOFF_ELECTRICAL";"STANDOFF-ELECTRICAL";"A standoff intended to be an electrically connected point.";"";"";
"S4";"STANDOFF_ELECTRICAL";"STANDOFF_ELECTRICAL";"STANDOFF-ELECTRICAL";"A standoff intended to be an electrically connected point.";"";"";
"SW1";"DIP-SWTCH-16POSCD16RM0SBR";"DIP-SWTCH-16POSCD16RM0SBR";"DIP-8MM";"";"";"";
"TP1";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP2";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP3";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP4";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP5";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP6";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP7";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP8";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP9";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP10";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP11";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP12";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP13";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP14";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP15";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP16";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"TP17";"";"TEST-POINTRCT-0C";"TEST-POINT-MINI";"Bare copper test points for troubleshooting or ICT";"";"";
"U1";"LT4356-2";"LT4356-2";"SOIC-16";"The LT®4356 surge stopper protects loads from high voltage";"";"";
"U2";"LT8631";"LT8631";"TSSOP-20-FE";"100V, 1A Synchronous Micropower Step-Down Regulator";"";"";
"U3";"LT3045";"LT3045";"MSOP-12-EP";"20V, 500mA, Ultralow Noise,Ultrahigh PSRR Linear Regulator";"";"";
"U4";"TMP101";"TMP101";"SOT23-6";"";"";"";
"U5";"ACS758LCB";"ACS758LCB";"CB5PIN";"";"";"";
"U6";"ESDA6V1SC6Y";"ESDA6V1SC6Y";"SOT23-6";"";"";"";
"U7";"ESDA6V1SC6Y";"ESDA6V1SC6Y";"SOT23-6";"";"";"";
"U8";"ESDA6V1SC6Y";"ESDA6V1SC6Y";"SOT23-6";"";"";"";
"U9";"ESDA6V1SC6Y";"ESDA6V1SC6Y";"SOT23-6";"";"";"";
"U10";"UCC27211A-Q1";"UCC27211A-Q1";"SOIC-8-EP";"";"";"";
"U11";"UCC27211A-Q1";"UCC27211A-Q1";"SOIC-8-EP";"";"";"";
"U12";"UCC27211A-Q1";"UCC27211A-Q1";"SOIC-8-EP";"";"";"";
"U13";"MTI85W100GC";"MTI85W100GC";"ISOPLUS-DIL";"";"";"";
